region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
bangalore,248000,2010,hyundai,i20,fair,4.0,petrol,46988,clean,manual,fwd,hatchback
bangalore,1802000,2023,kia,seltos,fair,4.0,diesel,44301,clean,automatic,fwd,suv
bangalore,290000,2012,hyundai,i10,fair,4.0,petrol,58327,clean,manual,fwd,hatchback
bangalore,280000,2015,maruti suzuki,alto,fair,3.0,petrol,37645,clean,manual,fwd,hatchback
bangalore,594000,2018,honda,jazz,fair,4.0,petrol,46932,clean,automatic,fwd,hatchback
bangalore,552000,2016,honda,jazz,fair,4.0,petrol,37764,clean,automatic,fwd,hatchback
bangalore,304000,2012,maruti suzuki,ritz,salvage,4.0,petrol,100054,clean,manual,fwd,hatchback
bangalore,348000,2015,maruti suzuki,celerio,salvage,3.0,petrol,96753,clean,automatic,fwd,hatchback
bangalore,370000,2013,maruti suzuki,swift dzire,salvage,4.0,petrol,106022,clean,manual,fwd,sedan
bangalore,511000,2017,hyundai,xcent,fair,4.0,petrol,51441,clean,manual,fwd,sedan
bangalore,283000,2016,maruti suzuki,alto,fair,3.0,petrol,35936,clean,manual,fwd,hatchback
bangalore,233000,2014,datsun,go,salvage,3.0,petrol,78026,clean,manual,fwd,hatchback
bangalore,257000,2016,renault,kwid,salvage,3.0,petrol,88401,clean,manual,fwd,hatchback
bangalore,288000,2015,maruti suzuki,alto,fair,3.0,petrol,38959,clean,manual,fwd,hatchback
bangalore,1666000,2023,kia,seltos,fair,4.0,diesel,42531,clean,manual,fwd,suv
bangalore,217000,2013,maruti suzuki,alto,salvage,3.0,petrol,88542,clean,manual,fwd,hatchback
bangalore,1088683,2022,volkswagen,taigun,good,3.0,petrol,19847,clean,automatic,fwd,suv
bangalore,479000,2017,maruti suzuki,ignis,salvage,4.0,petrol,90215,clean,manual,fwd,hatchback
bangalore,1440000,2022,kia,seltos,salvage,4.0,diesel,75057,clean,automatic,fwd,suv
bangalore,2064343,2022,mahindra,xuv700,salvage,4.0,diesel,74498,clean,automatic,awd,suv
bangalore,452000,2019,ford,freestyle,fair,3.0,petrol,60658,clean,manual,fwd,crossover
bangalore,468000,2017,maruti suzuki,celerio,good,3.0,petrol,22304,clean,automatic,fwd,hatchback
bangalore,400000,2018,hyundai,grand i10,salvage,4.0,petrol,108422,clean,manual,fwd,hatchback
bangalore,527000,2022,hyundai,santro,salvage,4.0,petrol,102575,clean,automatic,fwd,hatchback
bangalore,326000,2014,honda,brio,fair,4.0,petrol,68614,clean,manual,fwd,hatchback
bangalore,1060000,2021,kia,sonet,salvage,4.0,diesel,93976,clean,automatic,fwd,suv
bangalore,1335078,2023,hyundai,verna,fair,4.0,petrol,56233,clean,automatic,fwd,sedan
bangalore,258000,2011,hyundai,i10,salvage,4.0,petrol,74162,clean,manual,fwd,hatchback
bangalore,223000,2010,hyundai,i10,salvage,4.0,petrol,94177,clean,manual,fwd,hatchback
bangalore,274000,2012,ford,figo,fair,4.0,petrol,32036,clean,manual,fwd,hatchback
bangalore,522000,2017,hyundai,grand i10,fair,4.0,petrol,45820,clean,automatic,fwd,hatchback
bangalore,1296000,2021,mg motors,hector,salvage,4.0,petrol,73601,clean,automatic,fwd,suv
bangalore,1138000,2020,kia,seltos,salvage,4.0,petrol,91304,clean,automatic,fwd,suv
bangalore,515000,2019,hyundai,xcent,good,4.0,petrol,27444,clean,manual,fwd,sedan
bangalore,554000,2018,hyundai,grand i10,fair,4.0,petrol,54141,clean,automatic,fwd,hatchback
